"soc_id","Latitude","Longitude","OldLat","OldLong"
"Id7",-14,130,-14,130
"Ig15",-5,150,-5,150
"Eh10",-22,47,-22,47
"Ia17",6,125,6,125
"Ia18",10,123,10,123
"Ig16",-9,150,-9,150
"Ih12",-18.87,169.13,-19,169
"Ic13",-9.6,119.14,-10,119
"Ig17",-5.55,149,-5,149
"Ei20",23,92,23,92
"Ig18",-9,161,-9,161
"Ig19",-10,151,-10,151
"If10",6,153,6,153
"Ib9",3,115,3,115
"Ig8",-8,157,-8,157
"Ie34",-2.25,139.75,-2,140
"Ih11",-16.8,168.22,-17,168
"Ih13",-16,168,-16,168
"Ie36",-3,140,-3,140
"Ie37",-5,141,-5,141
"Ab21b",-32,28,-32,28
"Ac43",9,32,9,32
"Ef10",25,86,25,86
"Ca43",18,36,18,36
"Ee7",27,90,27,90
"Ch10",45,26,45,26
"Ni8",30,-110,30,-110
"Ni9",27,-107,27,-107
"Ng13",46,-70,46,-70
"Ef3",30,75,30,75
"Si9",-12,-54,-12,-54
"Ed16",23,113,23,113
"Ng14",35,-85,35,-85
"Ng15",30,-90,30,-90
"Ab22",-24.75,34.55,-25,35
"Ne21",29,-99,29,-99
"Sa14",8,-81,8,-81
"Nj11",22,-99,22,-99
"Ai4",11,34,11,34
"Ed13",24.35,123.8,24,124
"Sa15",14,-90,14,-90
"Sa16",15,-87,15,-87
"Aj30",2,34,2,34
"Eg12",18,82,18,82
"Nf15",43,-90,43,-90
"Ed14",22,105,22,105
"Nj5",18,-97,18,-97
"Ei17",26,94,26,94
"Nj12",18,-98,18,-98
"Ed15a",24,125,24,125
"Sb3",9,-72,9,-72
"Nj13",20,-99,20,-99
"Aj31",5,33,5,33
"Sf8",-12,-73,-12,-73
"Sa17",15,-91,15,-91
"Ei15",26,94,26,94
"Sc14",3,-55,3,-55
"Nh26",36,-106,36,-106
"Nh27",36,-105,36,-105
"Nj14",16,-96,16,-96
"Se12",0,-70,0,-70
"Sa2",17,-92,17,-92
"Sf9",-16,-69,-16,-69
"Eb8",43,60,43,60
"Aa4",-22,16,-22,16
"Aa9",-3,35,-3,35
"Aa1",-20,21,-20,21
"Aa3",-26,18,-26,18
"Aa7",-20,24,-20,24
"Aa6",-5,36,-5,36
"Aa8",-30,23,-30,23
"Ai37",12,31,12,31
"Ai38",10,30,10,30
"Ai39",11,30,11,30
"Ai40",11,30,11,30
"Ai2",11,31,11,31
"Ai10",12,31,12,31
"Ai41",11,30,11,30
"Ai42",12,29,12,29
"Ag14",10,-14,10,-14
"Ag15",12,-16,12,-16
"Ag16",12,-16,12,-16
"Ag21",12,-13,12,-13
"Ag17",12,-15,12,-15
"Ag18",11.1,-16.15,11,-16
"Ab10",-31,30,-31,30
"Ag8",13,-13,13,-13
"Ag19",12.05,-16.2,12,-17
"Ac21",-5,19,-5,19
"Ac29",-7,19,-7,19
"Af55",7,-11,7,-11
"Af2",9,-10,9,-10
"Ac31",-7,28,-7,28
"Ag20",12,-16,12,-16
"Ag22",14,-12,14,-12
"Af14",7.9,-12.8,7,-13
"Af57",8,-13,8,-13
"Cb23",14.75,-14.25,1,-14
"Cb24",12,12,12,12
"Cb2",15,-17,15,-17
"Ae1",1,30,1,30
"Ab19",-17,16,-17,16
"Ah9",10,9,10,9
"Ae7",3,25,3,25
"Ae48",5,11,5,11
"Ad1",-2,41,-2,41
"Ae49",6,10,6,10
"Ad41",1,35,1,35
"Ae50",6,11,6,11
"Ae51",5,11,5,11
"Af16",6,9,6,9
"Ah11",8,8,8,8
"Ah12",8,7,8,7
"Ae13",-2,29,-2,29
"Ac3",-11,31,-11,31
"Ad11",-9,36,-9,36
"Ad18",-7,31,-7,31
"Ae30",1,29,1,29
"Ah17",10,9,10,9
"Af17",6,9,6,9
"Ae36",1,23,1,23
"Ah18",10,10,10,10
"Ae44",4,9,4,9
"Ae37",3,23,3,23
"Ae31",2,28,2,28
"Ae19",-11,28,-11,28
"Ae2",4,9,4,9
"Ad3",-3,37,-3,37
"Ah10",10,9,10,9
"Ac10",-14,33,-14,33
"Ad13",-3,30,-3,30
"Ac12",-10,21,-10,21
"Ah13",12,5,12,5
"Ad30",-4,39,-4,39
"Ae12",4,10,4,10
"Ad31",-4,39,-4,39
"Ae40",3,14,3,14
"Ac22",-4,20,-4,20
"Af19",5,8,5,8
"Ae35",0,28,0,28
"Af18",6,8,6,8
"Ae20",-2,18,-2,18
"Ae3",1,11,1,11
"Ad19",-8,31,-8,31
"Ae52",7,10,7,10
"Ae38",2,21,2,21
"Ad7",1,32,1,32
"Ad32",-3,40,-3,40
"Ad9",1,34,1,34
"Ad24",-7,36,-7,36
"Id13",-13.99,136.8,-14,137
"Ah6",10,8,10,8
"Ad12",-1,35,-1,35
"Ae14",-5,30,-5,30
"Ad29",-6.6,39.15,-6,40
"Ad42",-1.15,31.73,-1,32
"Ad8",-8,35,-8,35
"Ab1",-21,16,-21,16
"Ae15",-2,28,-2,28
"Af20",5,8,5,8
"Ac1",-16,27,-16,27
"Ad15",-10,32,-10,32
"Ah23",8,11,8,11
"Ah2",8,10,8,10
"Ah19",10,8,10,8
"Ah20",10,8,10,8
"Ad50",-6,37,-6,37
"Ad34",-2,38,-2,38
"Ah14",11,6,11,6
"Ac32",-13,26,-13,26
"Ad38",-2,33,-2,33
"Ah1",10,8,10,8
"Ae21",-3,23,-3,23
"Ah24",7,10,7,10
"Ad43",-3,33,-3,33
"Ad4",-1,37,-1,37
"Ab21a",-10,14,-10,14
"Ae53",4,11,4,11
"Ae54",6,10,6,10
"Ac14",-7,15,-7,15
"Ad44",-1,30,-1,30
"Ae41",1,14,1,14
"Ae5",5,10,5,10
"Ac4",-5,22,-5,22
"Ae32",-1,27,-1,27
"Ac37",-15,32,-15,32
"Ae45",10,9,10,9
"Ah21",10,9,10,9
"Ae22",-4,22,-4,22
"Ad27",-7,39,-7,39
"Ac13",-11.95,34,-12,34
"Ac33",-15,31,-15,31
"Ae23",-1,23,-1,23
"Ac5",-13,28,-13,28
"Ac23",-5,21,-5,21
"Ab16",-24.8,34.2,-25,34
"Ae27",1,25,1,25
"Ab14",-24,31,-24,31
"Ab3",-15,23,-15,23
"Ac34",-10,29,-10,29
"Ae6",-8,26,-8,26
