soc_id,Latitude,Longitude,OldLat,OldLong,region,tdwg_code
Id7,-14,130,-14,130,Australia,50
Ig15,-5,150,-5,150,Papuasia,43
Eh10,-22,47,-22,47,Western Indian Ocean,29
Ia17,6,125,6,125,Malesia,42
Ia18,10,123,10,123,Malesia,42
Ig16,-9,150,-9,150,Papuasia,43
Ih12,-18.87,169.13,-19,169,Southwestern Pacific,60
Ic13,-9.6,119.14,-10,119,Malesia,42
Ig17,-5.55,149,-5,149,Papuasia,43
Ei20,23,92,23,92,Indian Subcontinent,40
Ig18,-9,161,-9,161,Papuasia,43
Ig19,-10,151,-10,151,Papuasia,43
If10,6,153,6,153,Northwestern Pacific,62
Ib9,3,115,3,115,Malesia,42
Ig8,-8,157,-8,157,Papuasia,43
Ie34,-2.25,139.75,-2,140,Papuasia,43
Ih11,-16.8,168.22,-17,168,Southwestern Pacific,60
Ih13,-16,168,-16,168,Southwestern Pacific,60
Ie36,-3,140,-3,140,Papuasia,43
Ie37,-5,141,-5,141,Papuasia,43
Ab21b,-32,28,-32,28,Southern Africa,27
Ac43,9,32,9,32,Northeast Tropical Africa,24
Ef10,25,86,25,86,Indian Subcontinent,40
Ca43,18,36,18,36,Northeast Tropical Africa,24
Ee7,27,90,27,90,Indian Subcontinent,40
Ch10,45,26,45,26,Southeastern Europe,13
Ni8,30,-110,30,-110,Mexico,79
Ni9,27,-107,27,-107,Mexico,79
Ng13,46,-70,46,-70,Northeastern U.S.A.,75
Ef3,30,75,30,75,Indian Subcontinent,40
Si9,-12,-54,-12,-54,Brazil,84
Ed16,23,113,23,113,China,36
Ng14,35,-85,35,-85,Southeastern U.S.A.,78
Ng15,30,-90,30,-90,Southeastern U.S.A.,78
Ab22,-24.75,34.55,-25,35,South Tropical Africa,26
Ne21,29,-99,29,-99,South-Central U.S.A.,77
Sa14,8,-81,8,-81,Central America,80
Nj11,22,-99,22,-99,Mexico,79
Ai4,11,34,11,34,Northeast Tropical Africa,24
Ed13,24.35,123.8,24,124,Eastern Asia,38
Sa15,14,-90,14,-90,Central America,80
Sa16,15,-87,15,-87,Central America,80
Aj30,2,34,2,34,East Tropical Africa,25
Eg12,18,82,18,82,Indian Subcontinent,40
Nf15,43,-90,43,-90,North-Central U.S.A.,74
Ed14,22,105,22,105,Indo-China,41
Nj5,18,-97,18,-97,Mexico,79
Ei17,26,94,26,94,Indian Subcontinent,40
Nj12,18,-98,18,-98,Mexico,79
Ed15a,24,125,24,125,Eastern Asia,38
Sb3,9,-72,9,-72,Northern South America,82
Nj13,20,-99,20,-99,Mexico,79
Aj31,5,33,5,33,Northeast Tropical Africa,24
Sf8,-12,-73,-12,-73,Western South America,83
Sa17,15,-91,15,-91,Central America,80
Ei15,26,94,26,94,Indian Subcontinent,40
Sc14,3,-55,3,-55,Northern South America,82
Nh26,36,-106,36,-106,South-Central U.S.A.,77
Nh27,36,-105,36,-105,South-Central U.S.A.,77
Nj14,16,-96,16,-96,Mexico,79
Se12,0,-70,0,-70,Brazil,84
Sa2,17,-92,17,-92,Mexico,79
Sf9,-16,-69,-16,-69,Western South America,83
Eb8,43,60,43,60,Middle Asia,32
Aa4,-22,16,-22,16,Southern Africa,27
Aa9,-3,35,-3,35,East Tropical Africa,25
Aa1,-20,21,-20,21,Southern Africa,27
Aa3,-26,18,-26,18,Southern Africa,27
Aa7,-20,24,-20,24,Southern Africa,27
Aa6,-5,36,-5,36,East Tropical Africa,25
Aa8,-30,23,-30,23,Southern Africa,27
Ai37,12,31,12,31,Northeast Tropical Africa,24
Ai38,10,30,10,30,Northeast Tropical Africa,24
Ai39,11,30,11,30,Northeast Tropical Africa,24
Ai40,11,30,11,30,Northeast Tropical Africa,24
Ai2,11,31,11,31,Northeast Tropical Africa,24
Ai10,12,31,12,31,Northeast Tropical Africa,24
Ai41,11,30,11,30,Northeast Tropical Africa,24
Ai42,12,29,12,29,Northeast Tropical Africa,24
Ag14,10,-14,10,-14,West Tropical Africa,22
Ag15,12,-16,12,-16,West Tropical Africa,22
Ag16,12,-16,12,-16,West Tropical Africa,22
Ag21,12,-13,12,-13,West Tropical Africa,22
Ag17,12,-15,12,-15,West Tropical Africa,22
Ag18,11.1,-16.15,11,-16,West Tropical Africa,22
Ab10,-31,30,-31,30,Southern Africa,27
Ag8,13,-13,13,-13,West Tropical Africa,22
Ag19,12.05,-16.2,12,-17,West Tropical Africa,22
Ac21,-5,19,-5,19,West-Central Tropical Africa,23
Ac29,-7,19,-7,19,West-Central Tropical Africa,23
Af55,7,-11,7,-11,West Tropical Africa,22
Af2,9,-10,9,-10,West Tropical Africa,22
Ac31,-7,28,-7,28,West-Central Tropical Africa,23
Ag20,12,-16,12,-16,West Tropical Africa,22
Ag22,14,-12,14,-12,West Tropical Africa,22
Af14,7.9,-12.8,7,-13,West Tropical Africa,22
Af57,8,-13,8,-13,West Tropical Africa,22
Cb23,14.75,-14.25,1,-14,West Tropical Africa,22
Cb24,12,12,12,12,West Tropical Africa,22
Cb2,15,-17,15,-17,West Tropical Africa,22
Ae1,1,30,1,30,West-Central Tropical Africa,23
Ab19,-17,16,-17,16,South Tropical Africa,26
